"sample_id","genotype","utilization_of_fruit","berry_skin_colour_oiv_225","presence_of_seeds_oiv_241","berry_flavour_oiv_236","sex_of_flower_oiv_151","time_of_bud_burst_day_chasselas_oiv_301","time_of_full_bloom_day_chasselas_oiv_302","time_of_veraison_week_chasselas_oiv_303","time_of_maturity_week_chasselas_oiv_304","fertility_inflorescence_10_buds_oiv_155","bunch_weight_g_oiv_502","berry_weight_g_oiv_503","bunch_susceptibility_to_botrytis_0_to_5_oiv_459","acidity_of_must_g_h2so4_l_oiv_506","acidity_of_wine_g_h2so4_l","wine_alcohol"
"B00EQXS","Abouhou","table","N","seed","none","F",8,NA,2.9,5.1,3,347,7,0.2,NA,NA,NA
"B00F6PF","Achlamiche","table","B","seed","none","H",2,4,4.7,5.6,NA,NA,NA,0,NA,NA,NA
"B00F6QR","Adreuli Skelkana","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00F6QP","Adreuli Tetri","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER78","Aetonychi mavro","table","N","seed","none","H",5,NA,4,6.6,5,396,4.4,0,8.5,NA,7.4
"B00EQV5","Affenthaler","wine","N","seed","none","H",-2,NA,2,1.9,19,158,1.8,0.3,6.4,4.1,11.4
"B00ERC6","Ag isioum","wine","B","seed","none","H",-2,NA,2.7,2.7,4,886,3.8,1.3,NA,NA,NA
"B00ER06","Ag Kiourdach faux (Collection Kichinev)",NA,"N",NA,NA,"H",6,2,3,3,0,202,3.3,NA,NA,NA,NA
"B00F6OY","Agadaï","table","B","seed","none","H",-2,NA,2.6,4.2,5,514,6.2,0.1,NA,NA,NA
"B00F6OR","Agourane","wine-table","B","seed","none","H",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"B00FQFI","Agua Santa",NA,"N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER0M","Ahmar Derani","table","Rg","seed","none","H",7,4,3.9,5.3,5,445,6.2,1.4,NA,NA,NA
"B00EQXF","Ahmeh Sal apyrène","table","B","seedless","none","H",8,8,2.3,3.4,3,NA,NA,2.5,NA,NA,NA
"B00F6PO","Ahmeur bou Ahmeur","table","Rg","seed","none","H",8,5,2.7,4.6,6,595,6.5,1,4.2,3.5,10.6
"B00ER8R","Aïdani mavro","wine","N","seed","none","H",11,NA,3.3,5,10,508,3.2,0.8,8,4.9,7.9
"B00ER0Y","Aïn el Bouma","table","B","seed","none","H",8,NA,2,3.3,9,503,3.9,1.2,NA,NA,NA
